Activity Totals Data Participant ID,Activity Totals Data Entry Date,Activity Totals Data Avg Normalized La,Activity Totals Data Avg Normalized Rw
1054,2019-11-29,583.5098817592358,664.8688120484076
388,2019-11-28,258.06336516888894,306.5256075063291
1308,2019-11-28,747.3433841283546,742.2087780357142
493,2019-11-27,452.06629502649355,558.793398420645
1103,2019-11-27,1186.5595857289175,393.7054068048193
189,2019-11-27,2.683100763333333,80.21754558545453
1364,2019-11-27,137.48636086742138,642.329463335849
1409,2019-11-26,593.2166076620254,692.0668153685534
1124,2019-11-26,367.5926201577358,624.0169797107143
150,2019-11-26,54.43451515439999,667.7726151640001
1312,2019-11-26,715.2338768957059,642.2388950581396
503,2019-11-25,230.86156647066665,631.860388353846
1284,2019-11-25,440.366735372152,410.04353775802474
581,2019-11-25,638.55700920956,880.0910157610064
731,2019-11-25,0,385.28656433121023
1176,2019-11-25,843.3088116030383,704.3183050440251
1399,2019-11-25,299.6115842538462,118.81077858765434
557,2019-11-25,1264.8030039392306,738.0675424384615
927,2019-11-24,806.0962745574565,927.1555177879518
1204,2019-11-22,600.9278315093671,606.1441472072288
217,2019-11-21,914.147809109351,696.0283085851854
1108,2019-11-20,992.9371826246154,921.8684980764332
1461,2019-11-20,1014.6448475366265,699.5907354643678
589,2019-11-20,364.83016259133757,460.10479394418604
676,2019-11-20,435.5448166581133,475.5508352095238
546,2019-11-20,652.9297817615192,815.0221432188678
1092,2019-11-20,462.9718170514287,492.8441556760737
337,2019-11-19,873.7545262265822,713.0620972567741
1237,2019-11-19,399.26451169769234,510.5182421399999
1487,2019-11-19,854.5178688840001,462.03183125942854
678,2019-11-19,233.2493131928205,486.82895565128206
1471,2019-11-19,510.47229720444443,628.7583043780487
443,2019-11-18,119.87029700356435,670.7090933409524
1065,2019-11-17,400.9801620511393,254.66295295505617
1395,2019-11-17,1154.2693050019393,846.7354934539326
126,2019-11-17,121.30999784000004,99.00621456153846
1049,2019-11-17,402.6554005662113,778.9112302136647
1479,2019-11-16,957.0329229976699,570.4008887743119
219,2019-11-16,1077.9063945974522,720.7050475215688
49,2019-11-16,244.04225952206454,308.36015815031834
1452,2019-11-16,614.5167531320756,
1223,2019-11-16,1839.1455765308642,930.9668373522123
458,2019-11-15,1272.1804056506332,439.9891316124224
367,2019-11-15,1218.1298673642768,951.7616908962962
966,2019-11-15,1226.1997336155412,371.9273653324999
1469,2019-11-15,437.9234604410323,667.0837729549999
571,2019-11-15,282.2353117466667,705.1934773121019
1074,2019-11-15,0.018100318840579718,367.49513749935477
326,2019-11-15,0,97.80545116491228
1154,2019-11-13,468.4790724235001,565.0412254842767
1297,2019-11-11,658.1928220675003,658.6992090883116
447,2019-11-11,0,136.85785963130436
1313,2019-11-11,451.7237335636364,457.92180881999985
129,2019-11-11,741.6678463902564,644.0539344825809
400,2019-11-11,1134.793439361529,175.96626629447854
1404,2019-11-11,728.128575130307,101.98993168361584
1331,2019-11-11,432.05824224430376,30.755678725581394
1264,2019-11-11,,
1230,2019-11-11,918.3684761292857,826.3473113855669
1383,2019-11-10,622.8265133620514,584.6813781614907
1014,2019-11-10,1287.7429223189877,883.9703288993941
1357,2019-11-10,774.4082819214909,672.1916437411763
1294,2019-11-10,1451.3263281006452,968.9647854699389
236,2019-11-10,426.0591362452831,368.49376390750007
1341,2019-11-10,177.03997740076923,186.37424149532708
1418,2019-11-09,159.85967427125004,394.9427527645568
278,2019-11-09,234.41025075561294,429.75030117179483
1446,2019-11-09,548.123725532152,560.9203888574713
130,2019-11-09,518.7506407379486,631.0979461132077
1271,2019-11-09,982.2352536812904,679.3468797777778
1234,2019-11-09,569.9677577577777,527.5450473707864
106,2019-11-09,630.2307034572152,160.13743352765954
1320,2019-11-09,488.4910240576624,628.4805059088607
718,2019-11-09,931.4182390855002,696.1260920450001
1352,2019-11-08,257.3945531933775,356.7124054055554
1422,2019-11-08,470.00611810484475,703.7036342150001
293,2019-11-08,149.48822814116127,150.5407045245033
1214,2019-11-08,1152.6348867503186,792.7280715000002
1253,2019-11-08,559.7244090756411,340.46202806585364
732,2019-11-08,311.8643644149677,2.8705282434782613
65,2019-11-08,668.2670992682051,379.6531723490908
225,2019-11-08,689.7934451454086,786.3768205006452
1494,2019-11-02,566.9275271633735,524.6467076906978
1444,2019-10-31,748.0836227515385,131.19287719500002
321,2019-10-30,144.86479947277422,165.76635632727272
1054,2019-10-30,691.6375948220779,633.6877181614906
1428,2019-10-30,310.01138892317886,517.3100064581819
411,2019-10-29,0,31.26032393956834
489,2019-10-29,4.599522595,0
1286,2019-10-29,734.9902788033123,677.6465337999999
1429,2019-10-29,396.58125081615384,462.37990207594936
1287,2019-10-29,566.6299100864935,626.7510893350319
1076,2019-10-27,149.768164348718,362.9479798479532
1312,2019-10-27,676.6381510855001,689.1998195421688
1124,2019-10-26,433.6508569582051,596.3681620766467
388,2019-10-26,225.53812024779222,310.978000987013
1237,2019-10-26,447.47843892154845,521.3407388253163
1254,2019-10-26,410.59495211509676,523.9074684980644
1308,2019-10-26,765.2924109097502,728.5899467176471
150,2019-10-25,72.82240864821195,702.542027783648
493,2019-10-25,509.3697559444158,545.9915885827817
1032,2019-10-25,478.98368331230773,346.53356683550294
731,2019-10-25,0,400.7793126191082
1364,2019-10-25,175.3239591280925,713.5456024976191
557,2019-10-25,1275.12438356,791.1990037384613
1092,2019-10-25,457.0844578510429,494.35638927453414
1461,2019-10-23,936.8036864039307,689.9495822037267
546,2019-10-23,658.5815490400001,785.7687939037975
1399,2019-10-23,277.5170536250909,103.0846295090909
1463,2019-10-22,532.0663788284277,481.3869411775
1479,2019-10-22,1145.8638022050634,722.3929795044023
337,2019-10-21,892.1952912676925,698.9215410777069
1176,2019-10-21,834.9119122071608,718.9079759456789
217,2019-10-20,955.3974508379356,689.6521859766083
1108,2019-10-20,1067.6336062625644,932.0644812687897
1103,2019-10-20,1210.3530612631846,465.0041355209303
589,2019-10-20,360.8284263908861,431.4033510827586
1395,2019-10-20,1129.7980806346836,866.4908964581396
678,2019-10-20,235.92942846101266,479.86052802909086
1204,2019-10-20,618.2630164213333,656.2887767337423
503,2019-10-19,278.46593508503304,697.6160783414012
219,2019-10-19,1030.413610616456,735.5084088230769
1487,2019-10-19,742.9432639502498,434.2852802081872
1065,2019-10-19,346.5592027066667,290.63249416766473
1452,2019-10-19,690.1527553209878,634.2922622404625
676,2019-10-19,420.7990445733333,328.0879180280702
1223,2019-10-19,1862.059233672547,884.0685740331361
1471,2019-10-19,500.06063354116134,634.3681007843137
372,2019-10-18,197.93047321473688,311.7143755402597
1284,2019-10-16,565.5198365171974,416.18238282699394
443,2019-10-15,133.40909868680004,667.5814826653847
1049,2019-10-15,411.09820776589754,692.0376623475
1409,2019-10-14,622.4173094545455,706.4988756891718
49,2019-10-14,271.82652096407645,333.6899159375
927,2019-10-14,,858.7746400666666
571,2019-10-14,277.56252024593545,702.8858125579617
1074,2019-10-14,0,286.3881983530863
447,2019-10-13,0,116.92844918157891
458,2019-10-13,1303.1672671103793,449.80709383850916
1480,2019-10-13,305.48247836307695,561.5060485848101
966,2019-10-13,1416.8669431130772,389.09314979756095
1297,2019-10-12,570.4728773222223,594.6471810339623
400,2019-10-12,1124.0645801063292,176.70720884276724
1383,2019-10-12,632.7646607673886,604.6316744736196
1014,2019-10-12,1216.3836296151899,893.7328488814371
1404,2019-10-12,621.8095304311113,80.32376637471265
1331,2019-10-12,599.3505536873419,53.6072682045977
1396,2019-10-12,845.4862043506328,482.71051073459114
1313,2019-10-11,464.0221942711111,478.16079571500006
1357,2019-10-11,778.5892305167903,671.1623959714286
1264,2019-10-11,355.7326010876434,417.37023669011
326,2019-10-10,0,215.00677258823524
1294,2019-10-08,1337.19221630925,998.8201282807453
278,2019-10-07,253.6963460064517,397.8731566683545
130,2019-10-07,547.8921216422785,666.5712013763975
236,2019-10-07,472.3969610122079,401.53439407749994
1341,2019-10-07,169.13084899226672,325.4101425044586
718,2019-10-07,887.7849712568553,726.0920172271605
1446,2019-10-06,461.58970644100003,466.957243071579
1214,2019-10-06,1141.833541081274,775.03299361
1271,2019-10-06,852.7493708433335,693.2237926024999
106,2019-10-06,726.5270423969426,188.6331966719101
1320,2019-10-06,649.5148556746155,636.0451841544303
732,2019-10-06,277.8315054012822,0.09985524705882357
65,2019-10-06,584.6620189333335,441.6674882375758
225,2019-10-06,768.2949631064901,791.8827694037266
1352,2019-10-04,272.38956589754844,347.3012098119205
293,2019-10-04,183.30611369226665,177.32231502894737
1234,2019-10-04,528.456990321,575.0054772444447
1253,2019-10-04,647.39230072675,387.9487812632911
1449,2019-10-03,769.7285163860648,719.2653544952383
321,2019-10-02,189.16405744106666,202.8913323948387
1076,2019-10-02,128.3575762269388,443.0648417037038
489,2019-09-30,1.0342924414814816,0.5159833826086956
411,2019-09-29,0,16.524381737226275
1124,2019-09-29,424.5375436985986,568.7698331468355
378,2019-09-29,229.1952269844444,647.7095797132074
1444,2019-09-29,777.6718658771796,123.66898384390245
1005,2019-09-28,20.35946765632653,2.1814520956521735
1154,2019-09-28,461.0112002722013,548.4191200994084
1287,2019-09-26,573.5506945777778,618.9326441099998
1254,2019-09-25,431.35399501473694,547.1046285006452
1312,2019-09-25,666.0776086202383,720.8864652341463
1308,2019-09-24,587.49275365441,707.1250604617283
1429,2019-09-24,414.3404951730841,397.51672675624997
388,2019-09-23,268.24784649688314,293.5926538980392
493,2019-09-23,479.2063442925787,572.6706343843136
1237,2019-09-23,483.8417696022931,515.822411765605
355,2019-09-23,539.5781763882051,
1364,2019-09-23,262.16982760024854,838.1049887461539
557,2019-09-23,1126.9364257776924,777.1435890230771
1092,2019-09-23,434.7824123138463,425.3171252153847
1108,2019-09-22,1077.6673823950648,950.2843499265823
150,2019-09-22,71.3754297362963,592.2606114296296
337,2019-09-22,853.8685970971794,715.9162453291138
1422,2019-09-22,449.5526762641026,639.729149071605
1032,2019-09-22,438.7572763857326,348.4317979017543
731,2019-09-22,0,458.89233644
1176,2019-09-22,899.7259223537108,784.2574420780487
189,2019-09-22,16.3324027784,131.4071657944954
546,2019-09-22,675.3048563468385,796.1825847433962
589,2019-09-21,449.33206601299366,463.3996820804733
1286,2019-09-21,548.1431153910828,566.9687101428572
1376,2019-09-21,588.0234141999999,490.3333318285715
1204,2019-09-21,688.8581756802599,648.359179891358
217,2019-09-20,946.3285460762914,761.4563773018182
